deal,stage,code,question,state,display,citation,because
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_T2","A compelling event drives the date","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO DEMO REHEARSAL DEAL","Qualify (outside the open stages, so no by-stage flag can fire)","AAO_BANT_T4","The timeline is confirmed by the decision maker","BLANK","","","Never established, and this deal's stage could not be ordered against the org's open stages, so the marker cannot be compared. Quiet, and the reason is ours rather than the deal's."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_A1","The decision maker is identified","AFFIRMED","Yes","Gwen Arkwright: ""That is me. I sign off on operations spend at this level and there is nobody above me on it. It is my decision, full stop.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_A2","The decision maker is engaged","AFFIRMED","Yes","Gwen Arkwright: ""That is me. I sign off on operations spend at this level and there is nobody above me on it. It is my decision, full stop.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_A3","The approval chain is understood","RED","Voiced no","Gwen Arkwright: ""there is nobody above me on it. It is my decision, full stop.""","The customer voiced the negative and it stands as an establishment in their own words. A voiced no reds at any stage."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_A4","Access to the decision maker exists","AFFIRMED","Yes","Gwen Arkwright: ""That is me. I sign off on operations spend at this level and there is nobody above me on it.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_B1","A budget exists for this purchase","RED","Voiced no","Gwen Arkwright: ""No. There is no budget allocated for this, not in this fiscal year. Nothing has been set aside and I want to be straight with you about that.""","The customer voiced the negative and it stands as an establishment in their own words. A voiced no reds at any stage."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_B2","The budget amount or range is known","BLANK","","","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_B3","The budget holder is identified","AFFIRMED","Yes","Gwen Arkwright: ""I sign off on operations spend at this level""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_B4","The approval path for funds is understood","AFFIRMED","Yes","Gwen Arkwright: ""I sign off on operations spend at this level and there is nobody above me on it. It is my decision, full stop.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_N1","A business problem is confirmed in the customer's words","AFFIRMED","Yes","Gwen Arkwright: ""That the handoff failures cost us real hours.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_N2","The problem is quantified","AFFIRMED","Yes","Ivan Petrov: ""Roughly nine hours a week across the team, chasing status that should be automatic.""",""
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_N3","The consequence of inaction is stated","BLANK","","","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_N4","The customer confirms our solution resolves their problem","BLANK","","","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_T1","A target date exists","RED","Not established","","Unknown past stage 2. Nobody has established this and the deal has reached the stage by which it should have been known."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_T2","A compelling event drives the date","BLANK","","","Not established yet, and the deal is at stage 2 against a marker of 3. Unknown here is quiet and lawful."
"AAO PROOF - denied and computed","Stage 2 (stage 2)","AAO_BANT_T4","The timeline is confirmed by the decision maker","BLANK","","","Not established yet, and the deal is at stage 2 against a marker of 4. Unknown here is quiet and lawful."
