AAO_Run_Key__c,AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Family__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Located_Pair__r.AAO_Answer_Text__c,AAO_Located_Pair__r.AAO_Start_Offset__c,AAO_Located_Pair__r.AAO_End_Offset__c,AAO_Located_Pair__r.AAO_Meaning__c,AAO_Located_Pair__r.AAO_Coverage__c,AAO_Disposition__c,AAO_Person__r.AAO_Display_Name__c,AAO_Verification__c,AAO_Verification_Note__c,AAO_Claim__c,AAO_Artifact_SHA256__c
gateA-c1,r1q3,Problems,AAO_PB_PRESS,We lost about one point two million in slipped deals last year that looked green in the system right up until they slipped.,1085,1208,PRESSURE,Full,Identified,Dana Okafor,Upheld,"The words describe a specific loss from slipped deals, which is a force acting on the organization that demands response.",a1VWD000008qT6I2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q4,,AAO_PS_1,"Our enablement lead, Priya. If she doesn't buy it, adoption won't happen no matter what I say.",2495,2589,MENTOR,,Identified,Dana Okafor,Refused,"The words describe a condition for their own adoption success, not a stance toward us or our solution.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q5,,AAO_POL_IC3,"That's the part I want my team to see. If it's native, and it's on the record they already open every day, I think adoption stops being a fight.",1580,1724,INNER_CIRCLE,Full,Identified,Dana Okafor,Refused,"The words express what the speaker wants and thinks will help adoption, but do not assert that the speaker controls outcomes; they express hope or intention, not control.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q6,Problems,AAO_PB_INIT,"We bolted a methodology onto Salesforce, but it lives in a separate tab",873,944,INITIATIVE,Full,Identified,Raj Patel,Upheld,"The words describe a project already underway: bolting a methodology onto Salesforce, which is an effort intended to change something.",a1VWD000008qT6J2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q7,Problems,AAO_PB_OBST,It looks like a graveyard of required fields nobody fills in.,811,872,OBSTACLE,Full,Identified,Raj Patel,Upheld,"The words describe a situation standing in the way: required fields that nobody fills in, which blocks their process.",a1VWD000008qT6K2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q8,,AAO_DC_N,"The thing I'll need to prove is that it reads what's already there. If I have to migrate three years of history by hand, this is dead on arrival for me.",1729,1881,CRITERION,Full,Identified,Raj Patel,Upheld,"The words state a condition (reading existing data) and tie it to proceeding with the solution, and further tie failure of that condition to blocking the purchase.",a1VWD000008qT6L2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r1q9,,AAO_DC_R,"If I have to migrate three years of history by hand, this is dead on arrival for me.",1797,1881,REQUIRED,Full,Identified,Raj Patel,Upheld,"The words explicitly state that manual migration would make the solution 'dead on arrival,' which asserts that this condition blocks the purchase.",a1VWD000008qT6M2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q1,Problems,AAO_PB_OBST,my honest problem is our forecast is off by around twenty percent every quarter. I can't tell you which deals are real until they either close or die.,230,380,OBSTACLE,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q10,,AAO_BR_EVAL,"I'll push back a little, because I've heard the forecast pitch before. We bought a tool two years ago that promised exactly this and my reps never touched it.",388,546,EVALUATOR,Full,Identified,Marcus Reyes,Upheld,"The words express skepticism based on past experience and push back on a pitch, which constitutes weighing what is being offered.",a1VWD000008qT6N2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q11,Problems,AAO_PB_GOAL,A forecast I can defend to the board without a spreadsheet full of gut feels.,2025,2102,GOAL,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q12,Problems,AAO_PB_GOAL,Adoption above eighty percent without me nagging a single person.,2107,2172,GOAL,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q13,Problems,AAO_PB_GOAL,My best rep spends nine hours a week on admin. Give her half of that back and I'll champion this myself.,2190,2294,GOAL,Full,Identified,Marcus Reyes,Upheld,The words state an outcome the speaker wants to achieve: giving their best rep back half of her nine hours of weekly admin time.,a1VWD000008qT6O2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q14,,AAO_DC_N,My best rep spends nine hours a week on admin. Give her half of that back and I'll champion this myself.,2190,2294,CRITERION,Partial,Identified,Marcus Reyes,Upheld,"The words tie a specific outcome (rep getting half her admin time back) directly to a decision to proceed (""I'll champion this myself"").",a1VWD000008qT6P2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q15,,AAO_PS_1,"Our enablement lead, Priya. If she doesn't buy it, adoption won't happen no matter what I say.",2495,2589,MENTOR,,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q16,,AAO_POL_IC3,Dana pulled you together,21,45,INNER_CIRCLE,Partial,Identified,Sam Ruiz,Refused,"The words state that Dana pulled people together, which describes Dana's action but does not assert that this person controls outcomes.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q17,,AAO_POL_PS2,"Raj, you own the systems side.",717,747,POLITICAL_STRUCTURE,Partial,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q18,,AAO_BR_USER,my reps never touched it,521,545,USER,Partial,Identified,Marcus Reyes,Refused,"The words state that reps never touched the tool, which asserts non-use rather than use or future use.",,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q19,,AAO_POL_PS3,"If she doesn't buy it, adoption won't happen no matter what I say.",2523,2589,POLITICAL_STRUCTURE,Partial,Held,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q2,,AAO_PS_1,"I'll push back a little, because I've heard the forecast pitch before. We bought a tool two years ago that promised exactly this and my reps never touched it.",388,546,NON_SUPPORTER,,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q20,,AAO_BR_DM,we quietly stopped paying for it,592,624,DECISION_MAKER,Partial,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q3,Problems,AAO_PB_INIT,"We bolted a methodology onto Salesforce, but it lives in a separate tab",873,944,INITIATIVE,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q4,Problems,AAO_PB_OBST,It looks like a graveyard of required fields nobody fills in.,811,872,OBSTACLE,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q5,Problems,AAO_PB_PRESS,We lost about one point two million in slipped deals last year that looked green in the system right up until they slipped.,1085,1208,PRESSURE,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q6,,AAO_PS_1,"That's the part I want my team to see. If it's native, and it's on the record they already open every day, I think adoption stops being a fight.",1580,1724,SUPPORTER,,Identified,Dana Okafor,Upheld,The words express enthusiasm about a specific feature of our solution and its potential to solve their adoption problem.,a1VWD000008qT6Q2AU,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q7,,AAO_DC_N,"The thing I'll need to prove is that it reads what's already there. If I have to migrate three years of history by hand, this is dead on arrival for me.",1729,1881,CRITERION,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q8,,AAO_DC_R,"If I have to migrate three years of history by hand, this is dead on arrival for me.",1797,1881,REQUIRED,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c1,r2q9,,AAO_BR_EVAL,The thing I'll need to prove is that it reads what's already there.,1729,1796,EVALUATOR,Full,Merged,,,,,acc43c029f47bb0142d0e6694640d5350883ea34e7d5863fc6d34a276c10c723
gateA-c2,r1q1,,AAO_BR_SIG,I hold the budget and I'm the one who signs,163,206,SIGNATURE_APPROVER,Full,Identified,Karen Lindqvist,Upheld,"The words directly assert that this person holds the budget and is the one who signs, answering the question about retaining review, approval, veto and fund release rights.",a1VWD000008qRFo2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q10,,AAO_PS_1,"For the record, that's a big movement for Karen.",2556,2604,MENTOR,,Identified,Dana Okafor,Refused,"The statement observes Karen's own progress or shift, not how the speaker stands toward us or our solution.",,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q11,,AAO_PS_1,"That's the exact thing I said was dead on arrival, and it isn't. That matters to me a lot.",859,949,SUPPORTER,,Identified,Raj Patel,Upheld,"The speaker asserts that something they predicted would fail is actually working, and that this matters to them significantly, which voices support.",a1VWD000008qRFp2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q12,,AAO_DC_N,"My one hard requirement, and I want it in writing. It stays Salesforce-native and it never requires a separate data warehouse.",2882,3008,CRITERION,Full,Identified,Raj Patel,Upheld,The words directly assert that this person is the one who signs.,a1VWD000008qRFq2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q13,,AAO_DC_R,"My one hard requirement, and I want it in writing. It stays Salesforce-native and it never requires a separate data warehouse. The day it needs its own database, security gets involved and this becomes a year-long project.",2882,3104,REQUIRED,Full,Identified,Raj Patel,Upheld,"The words state a hard requirement and describe consequences if it fails, asserting that the condition blocks the purchase.",a1VWD000008qRFr2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q14,Problems,AAO_PB_OBST,"The day it needs its own database, security gets involved and this becomes a year-long project.",3009,3104,OBSTACLE,Full,Identified,Raj Patel,Upheld,The words describe a process (security involvement and year-long project) that stands in the way of implementing a solution.,a1VWD000008qRFs2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q15,,AAO_BR_EVAL,"Show me the history question. This contact map, this committee. Did you build that by hand, or did it read what we already have?",556,684,EVALUATOR,Full,Identified,Raj Patel,Refused,"The words ask questions about how something was built, but do not demonstrate comparing options, pressing on capability, or probing price, terms or fit.",,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q16,Problems,AAO_PB_OBST,"My reps will not read a methodology manual. If this asks them to learn a new language, they'll route around it the way they did last time.",979,1117,OBSTACLE,Full,Identified,Priya Nair,Upheld,"The words describe a situation (reps not reading manuals, routing around new language requirements) that stands in the way of implementation.",a1VWD000008qRFt2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q17,Problems,AAO_PB_OBST,Half my job today is chasing people to update fields.,1393,1446,OBSTACLE,Full,Identified,Priya Nair,Upheld,The words describe a task (chasing people to update fields) that stands in the way of other work.,a1VWD000008qRFu2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q18,,AAO_DC_N,"I want to pilot it with one region before we commit anything. If adoption in that region beats forty percent, I'll take it to the whole floor myself.",2611,2760,CRITERION,Full,Identified,Priya Nair,Upheld,The words directly assert that this person is the one who signs.,a1VWD000008qRFv2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q19,,AAO_BR_EVAL,"I want to pilot it with one region before we commit anything. If adoption in that region beats forty percent, I'll take it to the whole floor myself.",2611,2760,EVALUATOR,Full,Identified,Priya Nair,Upheld,The words directly assert that this person is the one who signs.,a1VWD000008qRFw2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q2,,AAO_BR_APP,I hold the budget and I'm the one who signs,163,206,APPROVER,Full,Identified,Karen Lindqvist,Upheld,"The words directly assert that this person holds the budget and is the one who signs, answering the question about retaining review, approval, veto and fund release rights.",a1VWD000008qRFx2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q20,,AAO_PS_1,"If adoption in that region beats forty percent, I'll take it to the whole floor myself.",2673,2760,SUPPORTER,,Identified,Priya Nair,Upheld,"The speaker is offering to personally escalate the solution to leadership based on performance metrics, which asserts a supporter stance.",a1VWD000008qRFy2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q21,,AAO_BR_EVAL,"If that's real, it changes my whole enablement plan.",1340,1392,EVALUATOR,Partial,Identified,Priya Nair,Upheld,The words state a condition (adoption beating forty percent) and tie it to proceeding with a solution (taking it to the whole floor).,a1VWD000008qRFz2AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q22,,AAO_PS_1,Give her half of that back and I'll champion this myself.,2286,2343,SUPPORTER,,Identified,Marcus,Upheld,"The speaker is offering to personally champion the solution if a condition is met, which asserts a supporter stance.",a1VWD000008qRG02AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q3,,AAO_BR_EVAL,"What does it cost, and what am I comparing it against?",1453,1507,EVALUATOR,Full,Identified,Karen Lindqvist,Upheld,"The words ask about cost and comparison, which directly expresses weighing what is being offered.",a1VWD000008qRG12AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q4,,AAO_DC_N,So my bar isn't the price. It's whether I can trust the number it shows me.,1878,1953,CRITERION,Full,Identified,Karen Lindqvist,Upheld,The words state a condition (trustworthiness of numbers) and tie it to evaluating and proceeding with a solution.,a1VWD000008qRG22AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q5,,AAO_DC_N,"If Tomas signs off on the security review, I'll open the budget conversation. That's my condition.",3235,3333,CRITERION,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q6,,AAO_DC_R,"If Tomas signs off on the security review, I'll open the budget conversation. That's my condition.",3235,3333,REQUIRED,Full,Identified,Karen Lindqvist,Refused,The words state a condition for opening budget conversation but do not assert that failing the condition blocks or ends the purchase itself.,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q7,,AAO_BR_APP,"If Tomas signs off on the security review, I'll open the budget conversation. That's my condition.",3235,3333,APPROVER,Full,Identified,Karen Lindqvist,Refused,"The words describe a condition the speaker will impose, but do not assert that the speaker retains the right to review, approve, veto, or release funds—only that they will take an action contingent on another's approval.",,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q8,Problems,AAO_PB_OBST,"The last platform we bought couldn't produce an audit trail when compliance came asking, and I lost a quarter of my year cleaning it up.",1741,1877,OBSTACLE,Full,Identified,Karen Lindqvist,Upheld,"The words describe a task and situation (producing audit trails, compliance demands) that stood in the way of other work.",a1VWD000008qRG32AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r1q9,,AAO_PS_1,Which is exactly why I wanted you here early instead of at the very end.,264,336,MENTOR,,Identified,Dana Okafor,Upheld,"The speaker wanted the person present early in the process, suggesting they value their input and guidance on the solution, which voices a mentor stance.",a1VWD000008qRG42AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q1,,AAO_BR_APP,"I hold the budget and I'm the one who signs, so I came looking for the reasons this won't work.",163,258,APPROVER,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q10,,AAO_BR_EVAL,"Show me the history question. This contact map, this committee. Did you build that by hand, or did it read what we already have?",556,684,EVALUATOR,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q11,,AAO_BR_EVAL,"That's the exact thing I said was dead on arrival, and it isn't. That matters to me a lot.",859,949,EVALUATOR,Partial,Identified,Raj Patel,Refused,"The words express that something previously dismissed now works, but do not demonstrate weighing options, pressing on capability, or probing price, terms or fit.",,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q12,,AAO_PS_1,"That's the exact thing I said was dead on arrival, and it isn't. That matters to me a lot.",859,949,SUPPORTER,,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q13,Problems,AAO_PB_OBST,"My reps will not read a methodology manual. If this asks them to learn a new language, they'll route around it the way they did last time.",979,1117,OBSTACLE,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q14,Problems,AAO_PB_OBST,Half my job today is chasing people to update fields.,1393,1446,OBSTACLE,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q15,,AAO_DC_N,"I want to pilot it with one region before we commit anything. If adoption in that region beats forty percent, I'll take it to the whole floor myself.",2611,2760,CRITERION,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q16,,AAO_PS_1,"If adoption in that region beats forty percent, I'll take it to the whole floor myself.",2673,2760,MENTOR,,Identified,Priya Nair,Upheld,"The speaker is offering to personally champion the solution to leadership, which asserts a mentoring stance of active support and advocacy.",a1VWD000008qRG52AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q17,,AAO_POL_PS2,I want to pilot it with one region before we commit anything.,2611,2672,POLITICAL_STRUCTURE,Full,Identified,Priya Nair,Refused,"The words express a desire to pilot and a conditional commitment, but do not assert that this person is called on to make it happen.",,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q18,,AAO_PS_1,Which is exactly why I wanted you here early instead of at the very end.,264,336,MENTOR,,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q19,,AAO_PS_1,"For the record, that's a big movement for Karen.",2556,2604,MENTOR,,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q2,,AAO_BR_SIG,"I hold the budget and I'm the one who signs, so I came looking for the reasons this won't work.",163,258,SIGNATURE_APPROVER,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q3,,AAO_BR_EVAL,"What does it cost, and what am I comparing it against?",1453,1507,EVALUATOR,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q4,,AAO_DC_N,So my bar isn't the price. It's whether I can trust the number it shows me.,1878,1953,CRITERION,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q5,,AAO_DC_N,"If Tomas signs off on the security review, I'll open the budget conversation. That's my condition.",3235,3333,CRITERION,Partial,Identified,Karen Lindqvist,Upheld,"The words state a condition (Tomas signing off on security review) and tie it to a decision point (opening budget conversation), which is part of proceeding with a solution.",a1VWD000008qRG62AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q6,,AAO_BR_APP,"If Tomas signs off on the security review, I'll open the budget conversation. That's my condition.",3235,3333,APPROVER,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q7,Problems,AAO_PB_PRESS,"The last platform we bought couldn't produce an audit trail when compliance came asking, and I lost a quarter of my year cleaning it up.",1741,1877,PRESSURE,Partial,Identified,Karen Lindqvist,Upheld,The words describe a past problem (compliance audit trail failure) that demanded response and consumed significant time.,a1VWD000008qRG72AM,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q8,,AAO_DC_N,"My one hard requirement, and I want it in writing. It stays Salesforce-native and it never requires a separate data warehouse.",2882,3008,CRITERION,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c2,r2q9,,AAO_DC_R,"My one hard requirement, and I want it in writing. It stays Salesforce-native and it never requires a separate data warehouse. The day it needs its own database, security gets involved and this becomes a year-long project.",2882,3104,REQUIRED,Full,Merged,,,,,c294302d717ae09ca86efed8be1363ba919a44e2de751cb914af69dd3ed64781
gateA-c3,r1q1,,AAO_DC_N,"My one open item is data residency. We have EU customers, and that data has to stay in region.",410,504,CRITERION,Full,Identified,Tomas Reyes,Upheld,"The words state a condition (EU data must stay in region) tied to evaluating the solution, meeting the requirement.",a1VWD000008qccT2AQ,edb1bebda71d7b62a1f468a2a30789a369a3070e9d72f186d1965918bd38f07b
gateA-c3,r1q10,,AAO_DC_N,"we run Priya's one-region pilot for sixty days, and if adoption clears sixty percent I approve the full rollout before Q1",1620,1741,CRITERION,Full,Identified,Karen Lindqvist,Upheld,"The words state a condition (adoption clearing sixty percent) tied to proceeding with a solution (approving the full rollout), meeting the requirement.",a1VWD000008qccU2AQ,edb1bebda71d7b62a1f468a2a30789a369a3070e9d72f186d1965918bd38f07b
gateA-c3,r1q11,,AAO_POL_IC2,"Then here's where I land. Tomas gets his residency document and signs the review, we run Priya's one-region pilot for sixty days, and if adoption clears sixty percent I approve the full rollout before Q1.",1538,1742,INNER_CIRCLE,Full,Identified,Karen Lindqvist,Upheld,"The words explicitly state 'I approve the full rollout,' which directly demonstrates approval and sponsorship of an initiative.",a1VWD000008qccV2AQ,edb1bebda71d7b62a1f468a2a30789a369a3070e9d72f186d1965918bd38f07b
gateA-c3,r1q12,,AAO_POL_IC3,if adoption clears sixty percent I approve the full rollout before Q1,1672,1741,INNER_CIRCLE,Full,Identified,Karen Lindqvist,Refused,"The words describe a contingent approval decision (if adoption clears 60%, then approve rollout) but do not assert that this person controls the outcomes themselves.",,edb1bebda71d7b62a1f468a2a30789a369a3070e9d72f186d1965918bd38f07b
