AAO_Pair_Ref__c,AAO_Evidence_Contract__r.AAO_Proposition_Code__c,AAO_Answer_Text__c,AAO_Start_Offset__c,AAO_End_Offset__c,AAO_Meaning__c,AAO_Coverage__c,AAO_Criterion_Name__c,AAO_About_Designator__c
r2q3,AAO_PS_1,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer. There's an advisory committee for kind of new platforms, especially those that leverage AI.",49882,50168,MENTOR,,,
r2q4,AAO_BR_DM,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer.",49882,50076,DECISION_MAKER,Full,,
r2q6,AAO_POL_IC2,"It's going to be us, our recommendation, and really just, it'll go to our president, Rich, and then ultimately there's going to be some sort of a approval required from the Perkerwicz and Elmer.",49882,50076,INNER_CIRCLE,Partial,,Rich
r2q19,AAO_DC_F,"There's an advisory committee for kind of new platforms, especially those that leverage AI. So there would be some approval required",50077,50209,FORMAL,Partial,,
r1q7,AAO_BR_APP,"There's an advisory committee for kind of new platforms, especially those that leverage AI. So there would be some approval required",50077,50209,APPROVER,Full,,advisory committee
r1q6,AAO_BR_APP,"ultimately upon the recommendation from us and Rich, like that's kind of just a formality, right?",50222,50319,APPROVER,Partial,,Rich
r2q5,AAO_BR_APP,"ultimately upon the recommendation from us and Rich, like that's kind of just a formality, right?",50222,50319,APPROVER,Full,,Rich
r1q12,AAO_PS_1,"so far, the feedback's been, from what I've seen, has been pretty good. And so, yeah, we're starting, I guess, with the best from the rankings.",50948,51091,SUPPORTER,,,
r2q7,AAO_BR_EVAL,we'll be looking at other options,51100,51133,EVALUATOR,Full,,
r2q8,AAO_BR_EVAL,"over the next couple of weeks and comparing what you guys offer to them and especially the pricing. I know we haven't got to that point, but I think it would be good to kind of go over the pricing model and how that would, how that would shake out.",51165,51413,EVALUATOR,Full,,
r1q18,AAO_BR_EVAL,"how does that look like? I'm assuming A, the contacts have to be contacts we've already entered into Salesforce.",52095,52207,EVALUATOR,Full,,
r1q21,AAO_BR_USER,Me and Dan report to Kalia.,55652,55679,USER,Partial,,
r2q21,AAO_POL_IC1,"I mean, the driver is better business practices, more efficient use of our time and intelligent sharing.",58526,58630,INNER_CIRCLE,Partial,,
r2q15,AAO_POL_PS2,I was just kind of curious on how much of A lift it's going to be for Kayla to get approval from Perkerwicz and Elmer,61110,61227,POLITICAL_STRUCTURE,Full,,
r1q16,AAO_POL_PS2,how much of A lift it's going to be for Kayla to get approval from Perkerwicz and Elmer,61140,61227,POLITICAL_STRUCTURE,Partial,,
r2q22,AAO_PS_1,"I will say we haven't like signed any sort of an NDA with you. And if we're going to just share anything like that, it may be good to have that in place before we do.",62607,62773,MENTOR,,,
r1q13,AAO_PS_1,"I think Perkerwicz and Elmer will view that sort of like if we're saying which fields are we looking to actually access to import into the Altify solution. I don't, there's nothing that I would think they would weigh is like this is proprietary and not to be shared and this isn't. I think it's kind of an all or nothing proposition and that's what I would push for.",63702,64068,MENTOR,,,
r2q16,AAO_POL_PS2,"our opportunities are all a project pharma specific template. So our opportunity template is different than one source, which is different than everybody else.",64220,64379,POLITICAL_STRUCTURE,Partial,,
r2q2,AAO_PS_1,"full transparency, like if we were going to jump today, like you're the leader in the clubhouse for sure.",65209,65314,SUPPORTER,,,
r1q11,AAO_PS_1,"full transparency, like if we were going to jump today, like you're the leader in the clubhouse for sure",65209,65313,SUPPORTER,,,
r1q20,AAO_DC_N,But there's also pricing and other things that kind of make that contingent.,65315,65391,CRITERION,Full,Competitive pricing,
r2q17,AAO_DC_N,But there's also pricing and other things that kind of make that contingent.,65315,65391,CRITERION,Partial,Pricing and competitive fit,
